Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
24,ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,0.0935672514619883,0.9064327485380116,1881,6822.961538461538,3598.558139534884,2557.333333333333,3237.0,3523.482078853046,4205.821138211382,2146.702127659575,0.0,5746.459459459459,2064.285714285714,0,First
25,ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,0.0638179800221975,0.9361820199778024,1802,3893.420168067226,1446.415841584158,8629.142857142857,2223.6,2866.097978227061,3263.281553398058,3444.692307692308,0.0,2412.09756097561,5932.027932960894,0,First
27,ทหารผ่านศึก,None,None,Public,277,1500,9,101,0.2075471698113207,0.7924528301886793,53,0.0,427.5,0.0,2488.0,3441.8125,3505.5,0.0,0.0,4120.0,2559.375,0,First
28,ธนบุรี 1,Top,THG,Private,435,5620,9,625,0.0861169102296451,0.9138830897703548,3832,7858.772368421052,3212.117528089888,8920.92808219178,4378.570512820513,2887.440869565217,11714.69329896907,5164.702272727272,0.0,5804.170861244019,11251.39142011834,0,First
29,ธนบุรี 2,None,THG,Private,95,5350,9,222,0.0774719673802242,0.9225280326197758,2943,7182.475863636363,3373.985148514852,1446.631578947368,2918.438783783784,2921.614889807162,11384.77279329609,9149.162162162162,0.0,3164.495503355705,3740.669930875576,0,First
30,ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,0.08,0.92,75,3056.666666666667,0.0,0.0,2650.0,2966.241379310345,22776.63636363636,0.0,0.0,17295.3,15734.85714285714,0,First
31,นครธน,None,None,Private,150,4500,8,60,0.0649727767695099,0.9357531760435572,2755,8190.676865671643,1862.676470588235,6607.187692307692,2575.198721804511,2402.109477040816,7385.462993630573,11361.28202247191,0.0,3365.666126126126,3816.133881118881,0,First
32,นพรัตนราชธานี,None,None,Public,609,1400,9,128,0.1590909090909091,0.8409090909090909,88,0.0,1692.307692307692,0.0,3183.777777777778,2585.0,1359.833333333333,4340.0,0.0,1591.642857142857,778.0,0,First
33,นวเวช,None,None,Private,99,4000,8,240,0.0333333333333333,0.9666666666666668,30,5039.999999999999,2000.0,0.0,1322.588333333333,433.5714285714286,1350.5,0.0,0.0,0.0,589.6,0,First
34,นวมินทร์,None,None,Private,180,3000,9,92,0.1,0.9,40,1016.0,0.0,0.0,0.0,880.375,2862.5,0.0,62324.0,6802.8,2535.5,0,First
