ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 20
เมดพาร์ค,Top,None,Private,205,11000,394,0.11320754716981132,0.8867924528301887,106,19552.485,900.0,1733.75,3105.0,1667.25,44432.21583333333,3820.0,20451.5,2506.5
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,45,0.09243697478991597,0.907563025210084,119,6860.0,10561.538461538461,350.0,7196.451142857143,992.6363636363636,18057.14285714286,0.0,0.0,0.0
อินทรารัตน์,None,None,Private,152,3800,21,0.04065040650406504,0.959349593495935,123,0.0,0.0,0.0,5358.234848484848,1100.0,0.0,0.0,0.0,1580.25
แพทย์ปัญญา,None,None,Private,125,2150,22,0.176,0.824,125,84425.33333333333,0.0,55784.0,1143.7037037037037,65347.833333333336,14257.29411764706,64541.833333333336,1062.142857142857,122008.0
กลาง,None,None,Public,475,3000,116,0.14193548387096774,0.8580645161290322,155,952.6875,5246.666666666667,0.0,2818.5598,1356.53125,15003.765625,777.875,563.5,1090.4
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,85,0.11976047904191617,0.8802395209580839,167,4130.099,2150.0,0.0,8624.216250000001,1694.2283333333335,6641.456,27957.102857142854,5411.697692307692,2886.764090909091
ตำรวจ,None,None,Public,485,1600,363,0.3131868131868132,0.6868131868131868,182,2353.0,6986.95,8210.5,7866.777777777777,60613.75,13869.764705882353,13950.1,15039.8,50256.28571428572
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,41,0.043010752688172046,0.956989247311828,186,1389.340909090909,1837.4117647058824,234.25,2343.4023333333334,630.703125,2801.409090909091,6884.5,1173.4375,0.0
บางไผ่,None,None,Private,100,3530,8,0.03225806451612903,0.967741935483871,186,5722.625,1558.6055555555556,0.0,1348.409090909091,1141.6648387096773,1621.4822222222222,51209.25,853.9315384615385,1162.8268292682926
เลิดสิน,None,None,Public,609,1600,185,0.14871794871794872,0.8512820512820513,195,0.0,636.8333333333334,19011.0,2247.138484848485,0.0,727.0,8520.666666666666,1020.0,667.1428571428571
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,7,0.09900990099009901,0.900990099009901,202,848.6666666666666,880.0,530.0,8976.591666666667,1155.7878787878788,1320.909090909091,8303.666666666666,739.4285714285714,6851.041666666667
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,258,0.11894273127753303,0.8810572687224669,227,18138.5,2710.0,24844.0,1738.5714285714287,2444.08,7665.1875,1337.857142857143,3943.7272727272725,3394.55
ราชวิถี,Top,None,Private,1031,4300,347,0.324,0.676,250,3633.3333333333335,1228.939393939394,3940.0,10342.533333333333,4989.583333333333,10466.847826086956,2182.294117647059,4725.727272727273,780.0
บางนา 1,None,None,Private,101,2700,84,0.035856573705179286,0.9641434262948207,251,991.9473684210526,700.0,745.0,3592.633333333333,924.04,10855.23076923077,472.0,688.2727272727273,9168.742857142857
วชิรพยาบาล,Top,None,Public,740,2400,341,0.450199203187251,0.5577689243027888,251,16656.0,1194.3103448275863,20297.2,21082.89285714286,25248.58695652174,14244.84375,4953.27,4888.941176470588,5551.84375
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,221,0.08661417322834646,0.9133858267716536,254,1933.5,1220.7272727272727,1166.767857142857,3996.525,1027.3,2102.8809523809523,2640.0,1558.6666666666667,6034.633333333333
วิมุต,None,None,Private,236,5900,232,0.041353383458646614,0.9586466165413534,266,8956.182857142858,0.0,980.0,2759.880735294118,912.020625,5614.733333333334,1204.48,1743.2857142857142,2004.6753846153845
บางมด,None,None,Private,203,4000,71,0.07773851590106007,0.9222614840989399,283,1311.9444444444443,1467.952380952381,450.0,7817.905192307692,1552.4871794871794,2053.15,1389.4,899.25,11411.681818181818
บางปะกอก 8,None,BHGRT,Private,200,3200,219,0.12987012987012986,0.8701298701298701,308,3869.5151515151515,1896.7291666666667,900.0,1045.9479166666667,2254.5135135135133,2605.3166666666666,2763.0416666666665,2965.6,2407.985576923077
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,5,0.0847457627118644,0.9152542372881356,354,10131.142857142857,2749.8214285714284,4626.416666666667,0.0,1617.3610714285714,8036.852459016393,6796.428571428572,3861.08,7617.176470588235
จุฬาภรณ์,None,None,Public,115,3500,445,0.15500945179584122,0.8468809073724007,529,17270.666666666668,1203.6842105263158,4779.25,5678.948275862069,554.53125,4026.0172413793102,5506.666666666667,1796.9916666666666,1093.9666666666667
ราษฎร์บูรณะ,None,None,Public,124,3950,46,0.11826086956521739,0.8817391304347826,575,5658.642857142857,2987.0243902439024,933.0,8118.056074766355,5776.379746835443,10363.8,2670.734693877551,4960.536585365854,4062.3488372093025
กล้วยน้ำไท 1,None,None,Private,160,6650,85,0.06239168110918544,0.9376083188908145,577,2276.574468085106,1224.2142857142858,812.4,1259.75,1606.3076923076924,6308.117647058823,6004.166666666667,1964.6805555555557,7644.102040816327
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,137,0.12229102167182662,0.8792569659442725,646,7042.282608695652,1126.7708333333333,3318.0,882.1428571428571,4565.361842105263,9425.745098039215,1154.34375,5006.11320754717,3264.3714285714286
มิชชั่น,None,None,Private,120,4000,107,0.06666666666666667,0.9333333333333333,705,2782.3333333333335,1592.1046511627908,1200.0,12040.461538461539,10519.740458015267,9504.9,11481.53125,3306.0,5071.138888888889
พระมงกุฎเกล้า,Top,None,Public,953,2000,249,0.14363143631436315,0.8563685636856369,738,11986.166666666666,2629.574468085106,4716.416666666667,2925.3161764705883,3996.212142857143,24879.83695652174,3958.942857142857,1543.3673469387754,3806.8888888888887
เทพธารินทร์,None,None,Private,80,2100,106,0.040376850605652756,0.9596231493943472,743,7065.09375,2463.687213114754,4534.9,7684.175438596491,4776.0404761904765,33257.13333333333,3318.6875,2759.032258064516,5185.833333333333
คามิลเลียน,None,None,Private,120,4400,146,0.021361815754339118,0.9786381842456608,749,3547.4375,1321.0344827586207,1598.2,1287.25,1184.036231884058,1084.1818181818182,1996.9,1129.5172413793102,2469.0095238095237
ปิยะเวท,None,BHGRT,Private,150,5760,243,0.04880478087649402,0.951195219123506,1004,7049.050847457627,1682.152191780822,24907.5,1774.041891891892,1845.5803896103898,5197.192149532711,10019.135813953488,4274.9575,2735.8125
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,101,0.04102096627164995,0.95897903372835,1097,4337.456140350877,1029.8347826086956,10750.0,1601.4583333333333,2195.6776859504134,6892.0161290322585,2202.7118644067796,2646.046511627907,2385.809917355372
บางโพ,None,None,Private,100,3700,155,0.13191489361702127,0.8680851063829788,1645,9702.911517857143,4583.039714285715,15961.26904761905,7431.89223880597,4175.763686746988,11095.800000000001,8455.673194444444,5055.651230769231,4945.75782051282
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,285,0.06396713615023474,0.9360328638497653,1704,4638.349316239316,2489.398305084746,1545.55,1482.342105263158,3324.41891509434,6418.745094339623,7858.805882352941,5604.34633027523,3682.736263736264
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,256,0.041762013729977114,0.9582379862700229,1748,12861.80992248062,1499.495813953488,1595.9555555555555,1943.602222222222,2911.833758542142,4404.8256643356635,3216.893059701493,2455.9379787234043,3943.142164179104
ซีจีเอชสายไหม,None,None,Private,100,3890,384,0.06381798002219756,0.9361820199778025,1802,3893.4201680672268,1446.4158415841584,8629.142857142857,2223.6,2866.0979782270606,3263.2815533980583,3444.6923076923076,2412.0975609756097,5932.027932960894
บางปะกอก 1,None,BHGRT,Private,120,3200,171,0.06896551724137931,0.9310344827586207,1827,7278.642937062938,1538.894171779141,4115.694444444444,1247.9451219512196,2705.70260034904,3637.9202941176472,5617.4125,5325.523445378151,3233.0716666666667
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,384,0.0935672514619883,0.9064327485380117,1881,6822.961538461538,3598.5581395348836,2557.3333333333335,3237.0,3523.4820788530465,4205.821138211382,2146.7021276595747,5746.459459459459,2064.285714285714
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,291,0.05484024797329518,0.9451597520267048,2097,7554.314926470589,6701.228035714285,6909.180869565217,3766.4966972477064,3947.292156862745,7978.746477272728,11836.367886178863,8446.919230769232,3015.598805970149
สุขุมวิท,None,RAM,Private,135,2760,46,0.06619718309859154,0.9342723004694836,2130,5739.838323353293,2174.936170212766,2587.4,10634.763513513513,3440.684297520661,5016.565891472868,8246.753086419752,3905.2100840336134,4210.091503267974
นวมินทร์ 9,None,None,Private,245,3280,179,0.08873563218390805,0.911264367816092,2175,7833.093959731544,1219.319587628866,4807.363636363636,1363.8947368421052,3629.896385542169,5471.908045977011,9715.051724137931,2051.711956521739,5314.737777777777
เพชรเวช,None,None,Private,200,4810,306,0.03986571548468317,0.9601342845153168,2383,3036.3028169014083,1078.5393258426966,1978.1698113207547,1273.0294117647059,1784.577868852459,6677.289099526066,2368.0158730158732,1585.9714285714285,10314.63358778626
เจ้าพระยา,None,None,Private,200,5750,350,0.10828821324448147,0.8917117867555185,2401,9831.29569892473,2724.815789473684,4627.611111111111,7126.633027522936,4249.368932038835,12807.211462450592,15016.018348623853,7248.317073170731,7166.304498269897
บำรุงราษฎร์,Top,BH,Private,580,11492,1133,0.07317073170731707,0.926829268292683,2419,77402.2190909091,6374.905420560748,18371.305357142857,16541.14050955414,5430.098103448277,11599.845136986301,9841.037417218544,7881.797261904761,7382.017567567568
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,157,0.07000795544948289,0.9299920445505171,2514,7359.734693877551,2300.5878787878787,1133.6666666666667,3525.0224719101125,3229.8542805100183,11690.974489795919,6656.268518518518,3968.7134502923977,3508.1244019138758
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,57,0.061795569374271275,0.9382044306257287,2573,6745.091954022989,2691.196581196581,3138.153846153846,2634.7100840336134,3201.7976391231027,6988.89705882353,4371.9885057471265,5520.8259493670885,3275.768253968254
เวชธานี,None,None,Private,263,5850,722,0.06722383720930232,0.9327761627906976,2752,9469.750484848486,3262.8240863787373,5951.419032258064,1587.5278947368422,3420.131854304635,8985.594496402877,4919.566031746032,7145.398655462185,7961.721895424837
นครธน,None,None,Private,150,4500,60,0.06497277676950998,0.9357531760435571,2755,8190.676865671643,1862.676470588235,6607.1876923076925,2575.198721804511,2402.1094770408163,7385.462993630573,11361.28202247191,3365.666126126126,3816.133881118881
ศิริราชพยาบาล,None,None,Public,2112,1000,2263,0.23731186559327966,0.7633881694084704,2857,8550.010204081633,4644.5684357541895,16376.666666666666,19317.171919770775,6933.655555555555,17494.26551724138,11893.18376,10341.784574468085,3579.492718446602
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,245,0.06648103028193526,0.9335189697180647,2873,10391.077181208053,2950.424623115578,10156.69,5015.580291970803,5799.679104477612,5636.464117647059,5639.004189944134,9301.163961038961,4119.281818181818
ธนบุรี 2,None,THG,Private,95,5350,222,0.07747196738022426,0.9225280326197758,2943,7182.475863636363,3373.9851485148515,1446.6315789473683,2918.438783783784,2921.614889807162,11384.77279329609,9149.162162162162,3164.495503355705,3740.669930875576
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,145,0.0617124394184168,0.9382875605815832,3095,4775.646911764707,1967.3909392265193,1263.715625,5798.239082568808,2692.418990929705,6913.994029126214,3803.948418079096,3075.8756934306566,2990.8807758620687
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,21,0.1260827718960539,0.8739172281039461,3117,10554.622680851064,2492.3333333333335,9339.058823529413,5328.988636363636,5141.067320574162,7366.793427230047,6053.016666666666,7192.850393700787,3267.088433179724
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,571,0.06955128205128205,0.9307692307692308,3120,17052.59606936416,5063.0,10079.626,2166.8509302325583,4596.938156028367,10367.587918367346,13751.301013513515,4205.695805084745,22025.785028248592
